,id,Cena,Cena/metr,Pokoje,Miasto,Dzielnica,Ulica,Inwestycja,Stan nieruchomości,Pow. całkowita,Liczba poziomów mieszkania,Typ kuchni,Liczba łazienek,łazienka razem z WC,Taras,Pow. ogródka,Rynek,Forma własności,Typ budynku,Materiał budowlany,Rok budowy,Data dodania,Aktualizacja,Numer ogłoszenia,Liczba odsłon,Liczba Punktów Podbić,Piętro,Liczba pięter,Liczba sypialni,Balkon,Rodzaj umowy,Ogrzewanie,Stolarka okienna,Dostępne od,Wysokość wnętrza,Pow. balkonu,Stan budynku
0,0.0,360 185 zł,4 002 zł/m²,4,Gdańsk,Łostowice,Kryształowa,Domm 90M2 Z Ogrodem,Do wykończenia,90 m²,2,Aneks,2,Tak,Tak,200 m²,Pierwotny,Własność,Dom wielorodzinny,Pustak,2025,21.03.2024,17.04.2024,morizon-Mieszkanie,8 879,766,2,2,,,,,,,,,
1,1.0,2 850 000 zł,22 266 zł/m²,4,Sopot,Dolny,Grunwaldzka,,,128 m²,1,,,,Nie,,Wtórny,,Kamienica,Cegła,1920,18.09.2023,10.06.2024,morizon-WH690813,616,383,1,3,5,Nie,Na wyłączność,Co Własne,,,,,
2,2.0,669 000 zł,16 405 zł/m²,2,Gdynia,Redłowo,Bohaterów Starówki Warszawskiej,,,"40,78 m²",1,,,,,,Wtórny,,Blok Mieszkalny,Wielka płyta,1970,27.02.2024,06.06.2024,morizon-WH138189,699,309,3,9,,Tak,,Co Miejskie,,,,,
3,3.0,414 000 zł,11 948 zł/m²,2,Gdańsk,Jasień,,,Do wykończenia,"34,65 m²",,,,,,,Pierwotny,Własność,Blok,Wielka płyta,2023,12.06.2024,12.06.2024,morizon-1279,1,233,1,4,,Tak,,Miejskie,PCV,,,,
4,4.0,537 365 zł,8 550 zł/m²,4,Gdańsk,Ujeścisko - Łostowice,,,Do wykończenia,"62,85 m²",,,2,,,,Pierwotny,Własność,Blok,Cegła,2024,03.06.2024,08.06.2024,morizon-1262,386,230,1,3,,Tak,,Miejskie,PCV,,,,
5,5.0,489 000 zł,16 300 zł/m²,1,Gdańsk,Morena,Magellana,,,30 m²,,,,,,,Wtórny,,Apartamentowiec,Pustak,2013,27.02.2024,05.06.2024,morizon-MA586882207,1 085,217,1,8,1,,Na wyłączność,Co Miejskie,,,,,
6,6.0,699 840 zł,10 800 zł/m²,3,Gdańsk,Ujeścisko-Łostowice,ul. Tadeusza Bramińskiego,Koncept,,"64,80 m²",,,,,,,Pierwotny,,,,2024,04.01.2024,12.06.2024,morizon-F-F.1.4.5,247,216,3,3,,,,,,,,,
7,7.0,748 548 zł,10 800 zł/m²,3,Gdańsk,Ujeścisko-Łostowice,ul. Tadeusza Bramińskiego,Koncept,,"69,31 m²",,,,,,,Pierwotny,,,,2024,04.01.2024,12.06.2024,morizon-F-F.1.4.6,215,203,3,3,,,,,,,,,
8,8.0,589 000 zł,14 125 zł/m²,2,Gdańsk,Przymorze,Piastowska,,,"41,70 m²",1,,,,,,Wtórny,,Blok Mieszkalny,,1972,11.06.2024,11.06.2024,morizon-MG913245,40,203,4,4,,,Na wyłączność,Co Miejskie,,,,,
9,9.0,1 023 360 zł,26 000 zł/m²,1,Gdańsk,Śródmieście,Kamienna Grobla 28/29,KAMIENNA 28,,"39,36 m²",,,,,,,Pierwotny,,,,2024,02.05.2024,12.06.2024,morizon-4-4.22,56,203,3,3,,,,,,,,,
